vi;vj;comprimento;demanda;tipo
0;1;15.34;0.0;"SD"
2;3;21.11;15.8325;"CD"
4;5;30.14;22.605;"CD"
6;7;39.92;29.94;"CD"
8;9;326.56;244.92000000000002;"CD"
10;11;335.11;251.3325;"CD"
12;13;341.78;256.335;"CD"
14;15;312.86;234.645;"CD"
16;17;318.96;239.21999999999997;"CD"
18;19;228.56;171.42000000000002;"CD"
20;21;233.29;174.9675;"CD"
22;23;237.98;178.48499999999999;"CD"
24;25;242.84;182.13;"CD"
26;27;247.41;185.5575;"CD"
28;29;252.05;189.03750000000002;"CD"
30;31;256.62;192.465;"CD"
32;33;261.22;195.91500000000002;"CD"
34;35;266.82;200.115;"CD"
36;37;272.28;204.20999999999998;"CD"
38;39;277.35;208.01250000000002;"CD"
40;41;284.64;213.48;"CD"
42;43;289.91;217.4325;"CD"
44;45;298.66;223.995;"CD"
46;47;304.73;228.5475;"CD"
48;49;401.69;301.2675;"CD"
50;51;376.83;282.6225;"CD"
52;53;384.01;288.0075;"CD"
54;55;390.13;292.59749999999997;"CD"
56;57;397.19;297.8925;"CD"
58;59;369.68;277.26;"CD"
60;61;361.9;271.42499999999995;"CD"
62;63;357.98;268.485;"CD"
64;65;349.52;262.14;"CD"
66;67;9.0;0.0;"SD"
68;69;11.59;8.692499999999999;"CD"
70;71;14.0;10.5;"CD"
72;73;16.96;12.72;"CD"
74;75;18.89;14.1675;"CD"
76;77;21.28;15.96;"CD"
78;79;23.59;17.6925;"CD"
80;81;26.03;19.5225;"CD"
82;83;28.34;21.255;"CD"
84;85;31.21;23.4075;"CD"
86;87;32.92;24.69;"CD"
88;89;35.65;26.737499999999997;"CD"
90;91;40.47;30.3525;"CD"
92;93;43.41;32.5575;"CD"
94;95;48.99;36.7425;"CD"
96;97;53.55;40.162499999999994;"CD"
98;99;58.86;44.144999999999996;"CD"
100;101;64.77;48.5775;"CD"
102;103;70.48;52.86;"CD"
104;105;78.79;59.0925;"CD"
106;107;85.91;64.4325;"CD"
108;109;93.46;70.095;"CD"
110;111;100.9;75.67500000000001;"CD"
112;113;107.77;80.8275;"CD"
114;115;116.48;87.36;"CD"
116;117;122.65;91.98750000000001;"CD"
118;119;131.32;98.49;"CD"
120;121;148.55;111.41250000000001;"CD"
122;123;157.77;118.32750000000001;"CD"
124;125;165.57;124.1775;"CD"
126;127;172.18;129.135;"CD"
128;129;177.16;132.87;"CD"
130;131;184.43;138.3225;"CD"
132;133;189.01;141.7575;"CD"
134;135;196.3;147.22500000000002;"CD"
136;137;201.01;150.7575;"CD"
138;139;207.05;155.28750000000002;"CD"
140;141;211.41;158.5575;"CD"
142;143;216.01;162.0075;"CD"
144;145;220.55;165.41250000000002;"CD"
146;147;225.04;168.78;"CD"
148;149;497.3;372.975;"CD"
150;151;500.09;375.0675;"CD"
152;153;502.24;376.68;"CD"
154;155;502.22;376.665;"CD"
156;157;500.12;375.09000000000003;"CD"
158;159;501.36;376.02;"CD"
160;161;499.7;374.775;"CD"
162;163;497.01;372.7575;"CD"
164;165;494.7;371.025;"CD"
166;167;492.24;369.18;"CD"
168;169;490.26;367.695;"CD"
170;171;488.3;366.225;"CD"
172;173;485.45;364.0875;"CD"
174;175;483.12;362.34000000000003;"CD"
176;177;480.99;360.7425;"CD"
178;179;478.73;359.0475;"CD"
180;181;476.35;357.26250000000005;"CD"
182;183;473.56;355.17;"CD"
184;185;471.69;353.7675;"CD"
186;187;469.42;352.065;"CD"
188;189;466.74;350.055;"CD"
190;191;464.62;348.46500000000003;"CD"
192;193;462.49;346.8675;"CD"
194;195;460.78;345.585;"CD"
196;197;459.2;344.4;"CD"
198;199;456.8;342.6;"CD"
200;201;455.59;341.6925;"CD"
202;203;452.65;339.48749999999995;"CD"
204;205;449.47;337.1025;"CD"
206;207;448.31;336.2325;"CD"
208;209;445.3;333.975;"CD"
210;211;443.41;332.5575;"CD"
212;213;441.57;331.1775;"CD"
214;215;438.97;329.2275;"CD"
216;217;437.18;327.885;"CD"
218;219;433.13;324.84749999999997;"CD"
220;221;430.41;322.8075;"CD"
222;223;427.52;320.64;"CD"
224;225;423.6;317.70000000000005;"CD"
226;227;419.93;314.9475;"CD"
228;229;415.73;311.7975;"CD"
230;231;411.43;308.5725;"CD"
232;233;406.47;304.8525;"CD"
234;235;24.4;0.0;"SD"
236;237;36.22;27.165;"CD"
238;239;43.82;32.865;"CD"
240;241;53.71;40.2825;"CD"
242;243;62.16;46.62;"CD"
244;245;69.0;51.75;"CD"
246;247;76.98;57.735;"CD"
248;249;85.7;64.275;"CD"
250;251;93.44;70.08;"CD"
252;253;99.99;74.99249999999999;"CD"
254;255;109.62;82.215;"CD"
256;257;116.33;87.2475;"CD"
258;259;123.98;92.985;"CD"
260;261;131.85;98.88749999999999;"CD"
262;263;142.23;106.67249999999999;"CD"
264;265;154.58;115.935;"CD"
266;267;168.01;126.0075;"CD"
268;269;181.81;136.35750000000002;"CD"
270;271;194.7;146.02499999999998;"CD"
272;273;209.3;156.97500000000002;"CD"
274;275;225.67;169.2525;"CD"
276;277;242.08;181.56;"CD"
278;279;257.61;193.2075;"CD"
280;281;275.65;206.73749999999998;"CD"
282;283;308.3;231.22500000000002;"CD"
284;285;417.84;313.38;"CD"
286;287;435.32;326.49;"CD"
288;289;457.7;343.275;"CD"
290;291;463.36;347.52;"CD"
292;293;469.76;352.32;"CD"
294;295;472.75;354.5625;"CD"
296;297;476.09;357.0675;"CD"
298;299;481.66;361.245;"CD"
300;301;482.97;362.2275;"CD"
302;303;484.77;363.5775;"CD"
304;305;484.17;363.1275;"CD"
306;307;484.02;363.015;"CD"
308;309;485.05;363.7875;"CD"
310;311;487.78;365.835;"CD"
312;313;488.69;366.5175;"CD"
314;315;489.0;366.75;"CD"
316;317;491.64;368.73;"CD"
318;319;491.67;368.7525;"CD"
320;321;493.9;370.42499999999995;"CD"
322;323;495.05;371.2875;"CD"
66;68;2.48;0.0;"SD"
68;70;3.23;0.0;"SD"
70;72;3.02;0.0;"SD"
72;74;2.5;0.0;"SD"
74;76;3.09;0.0;"SD"
76;78;2.57;0.0;"SD"
78;80;2.56;0.0;"SD"
80;82;3.39;0.0;"SD"
82;84;2.97;0.0;"SD"
84;86;2.69;0.0;"SD"
86;88;3.0;0.0;"SD"
88;90;4.79;0.0;"SD"
90;92;3.83;0.0;"SD"
92;94;5.81;0.0;"SD"
94;96;5.3;0.0;"SD"
96;98;4.98;0.0;"SD"
98;100;6.71;0.0;"SD"
100;102;5.44;0.0;"SD"
102;104;8.44;0.0;"SD"
104;106;7.79;0.0;"SD"
106;108;7.61;0.0;"SD"
108;110;6.96;0.0;"SD"
110;112;6.94;0.0;"SD"
112;114;8.47;0.0;"SD"
114;116;5.67;0.0;"SD"
116;118;8.51;0.0;"SD"
118;120;16.47;0.0;"SD"
120;122;8.21;0.0;"SD"
122;124;7.25;0.0;"SD"
124;126;6.44;0.0;"SD"
